first,second,third,fourth,fifth,sixth,Day_Name,Month,Day,Week,week_cos,week_sin,month_cos,month_sin,day_cos,day_sin
6,7,17,19,22,24,Thursday,4,11,15,0.6234898018587354,0.7818314824680284,-0.4999999999999998,0.8660254037844387,-0.6121059825476626,0.7907757369376989
5,24,27,29,30,31,Tuesday,4,9,15,0.6234898018587354,0.7818314824680284,-0.4999999999999998,0.8660254037844387,-0.2506525322587204,0.9680771188662043
1,7,22,24,30,41,Saturday,4,6,14,1.0,-4.898587196589413e-16,-0.4999999999999998,0.8660254037844387,0.3473052528448203,0.9377521321470804
4,6,27,31,39,40,Thursday,4,4,14,1.0,-4.898587196589413e-16,-0.4999999999999998,0.8660254037844387,0.6889669190756866,0.72479278722912
1,5,8,23,24,37,Tuesday,4,2,14,1.0,-4.898587196589413e-16,-0.4999999999999998,0.8660254037844387,0.9189578116202306,0.39435585511331855
3,20,31,32,38,41,Tuesday,3,26,13,0.6234898018587346,-0.781831482468029,6.123233995736766e-17,1.0,0.5289640103269624,-0.8486442574947509
1,7,15,22,29,35,Saturday,3,23,12,-0.2225209339563148,-0.9749279121818235,6.123233995736766e-17,1.0,-0.05064916883871355,-0.9987165071710528
16,21,25,29,30,35,Thursday,3,21,12,-0.2225209339563148,-0.9749279121818235,6.123233995736766e-17,1.0,-0.44039415155763423,-0.8978045395707417
2,7,11,14,31,33,Tuesday,3,19,12,-0.2225209339563148,-0.9749279121818235,6.123233995736766e-17,1.0,-0.7587581226927911,-0.651372482722222
4,14,17,29,30,38,Saturday,3,16,11,-0.90096886790242,-0.4338837391175562,6.123233995736766e-17,1.0,-0.9948693233918952,-0.10116832198743204
6,7,15,17,32,40,Thursday,3,14,11,-0.90096886790242,-0.4338837391175562,6.123233995736766e-17,1.0,-0.9541392564000488,0.29936312297335804
2,21,26,31,34,42,Tuesday,3,12,11,-0.90096886790242,-0.4338837391175562,6.123233995736766e-17,1.0,-0.758758122692791,0.6513724827222223
12,16,20,32,35,36,Saturday,3,9,10,-0.9009688679024189,0.43388373911755845,6.123233995736766e-17,1.0,-0.2506525322587204,0.9680771188662043
8,11,18,26,38,40,Thursday,3,7,10,-0.9009688679024189,0.43388373911755845,6.123233995736766e-17,1.0,0.1514277775045767,0.9884683243281114
3,5,16,37,40,41,Tuesday,3,5,10,-0.9009688679024189,0.43388373911755845,6.123233995736766e-17,1.0,0.5289640103269624,0.8486442574947509
